title,tv,year,rating,score_imdb,score_rotten,available_on,show_or_movie
Waking Sleeping Beauty,,2009,7+,7.6,71%,Disney Plus,Movie
White Fang,,1991,7+,6.7,65%,Disney Plus,Movie
Glory Road,,2006,7+,7.2,,Disney Plus,Movie
Pooh's Heffalump Movie,,2005,all,6.4,80%,Disney Plus,Movie
Splash,,1984,7+,6.2,90%,Disney Plus,Movie
Chicken Little,,2005,all,5.7,37%,Disney Plus,Movie
The Absent-Minded Professor,,1961,all,6.8,83%,Disney Plus,Movie
Diary of a Wimpy Kid,,2010,7+,6.2,53%,Disney Plus,Movie
Disney Gallery: The Mandalorian,TV,2020,7+,8.5,,Disney Plus,TV
Wolverine and the X-Men,TV,2008,7+,8.0,67%,Disney Plus,TV
The Avengers: Earth's Mightiest Heroes,TV,2010,7+,8.3,,Disney Plus,TV
Recess,TV,1997,7+,7.8,,Disney Plus,TV
The Black Cauldron,,1985,7+,6.4,55%,Disney Plus,Movie
Timmy Failure: Mistakes Were Made,,2020,7+,6.1,88%,Disney Plus,Movie
The Princess Diaries 2: Royal Engagement,,2004,all,5.8,26%,Disney Plus,Movie
Chimpanzee,,2012,all,7.2,76%,Disney Plus,Movie
Lab Rats,TV,2012,7+,6.6,,Disney Plus,TV
That's So Raven,TV,2003,all,6.6,,Disney Plus,TV
Pete's Dragon,,1977,all,6.4,54%,Disney Plus,Movie
The Suite Life of Zack & Cody,TV,2005,all,6.5,,Disney Plus,TV
The Game Plan,,2007,7+,6.1,28%,Disney Plus,Movie
The Tigger Movie,,2000,all,6.3,62%,Disney Plus,Movie
101 Dalmatians,,1996,all,5.7,42%,Disney Plus,Movie
Cinderella III: A Twist in Time,,2007,all,5.9,75%,Disney Plus,Movie
Gordon Ramsay: Uncharted,TV,2019,16+,7.9,83%,Disney Plus,TV
The Last Song,,2010,7+,6.0,21%,Disney Plus,Movie
Noelle,,2019,all,6.2,53%,Disney Plus,Movie
Penguins,,2019,all,7.0,92%,Disney Plus,Movie
The Odd Life of Timothy Green,,2012,7+,6.6,35%,Disney Plus,Movie
Frank and Ollie,,1995,7+,7.8,88%,Disney Plus,Movie
America's Funniest Home Videos,TV,1989,7+,6.2,,Disney Plus,TV
The Three Musketeers,,1993,7+,6.4,28%,Disney Plus,Movie
Heavyweights,,1995,7+,6.6,29%,Disney Plus,Movie
Gargoyles,TV,1994,7+,8.1,,Disney Plus,TV
Greyfriars Bobby: The True Story of a Dog,,1961,,7.3,100%,Disney Plus,Movie
Escape to Witch Mountain,,1975,all,6.4,76%,Disney Plus,Movie
The Santa Clause 2,,2002,all,5.6,56%,Disney Plus,Movie
Cheaper by the Dozen,,2003,7+,5.9,24%,Disney Plus,Movie
The World According to Jeff Goldblum,TV,2019,7+,7.8,82%,Disney Plus,TV
George of the Jungle,,1997,7+,5.5,57%,Disney Plus,Movie
Ice Princess,,2005,all,6.0,52%,Disney Plus,Movie
Darkwing Duck,TV,1991,7+,7.6,,Disney Plus,TV
Twitches,,2005,7+,5.7,60%,Disney Plus,Movie
Bedtime Stories,,2008,7+,6.0,26%,Disney Plus,Movie
Girl Meets World,TV,2014,all,7.2,,Disney Plus,TV
Marvel's Ultimate Spider-Man,TV,2012,7+,7.1,,Disney Plus,TV
Chip 'n' Dale Rescue Rangers,TV,1989,all,7.6,,Disney Plus,TV
The Suite Life on Deck,TV,2008,all,6.3,,Disney Plus,TV
An Extremely Goofy Movie,,2000,all,6.4,63%,Disney Plus,Movie
Iron Will,,1994,7+,6.6,62%,Disney Plus,Movie
Freaky Friday,,1976,all,6.3,70%,Disney Plus,Movie
Mickey's Once Upon a Christmas,,1999,all,7.2,40%,Disney Plus,Movie
Piglet's Big Movie,,2003,all,6.1,70%,Disney Plus,Movie
Ruby Bridges,,1998,7+,7.2,83%,Disney Plus,Movie
Empire of Dreams: The Story of the Star Wars Trilogy,,2004,,8.3,,Disney Plus,Movie
Aladdin and the King of Thieves,,1996,all,6.4,33%,Disney Plus,Movie
Fun and Fancy Free,,1947,all,6.6,67%,Disney Plus,Movie
The Kid,,2000,7+,6.1,49%,Disney Plus,Movie
Brother Bear 2,,2006,7+,6.2,50%,Disney Plus,Movie
Recess: School's Out,,2001,all,6.6,60%,Disney Plus,Movie
Red Tails,,2012,13+,5.9,40%,Disney Plus,Movie
Doug,TV,1991,all,7.4,,Disney Plus,TV
Because of Winn-Dixie,,2005,7+,6.3,55%,Disney Plus,Movie
Life Below Zero,TV,2013,7+,8.0,,Disney Plus,TV
The Adventures of Huck Finn,,1993,7+,6.2,73%,Disney Plus,Movie
Hannah Montana,TV,2006,all,5.0,,Disney Plus,TV
TRON: Uprising,TV,2012,7+,8.2,,Disney Plus,TV
Lilo & Stitch 2: Stitch Has a Glitch,,2005,7+,6.3,40%,Disney Plus,Movie
Camp Rock 2: The Final Jam,,2010,7+,5.2,63%,Disney Plus,Movie
The Muppets,TV,2015,7+,7.4,64%,Disney Plus,TV
The Crimson Wing: Mystery of the Flamingos,,2008,all,7.3,75%,Disney Plus,Movie
Marvel's Avengers Assemble,TV,2013,7+,7.0,,Disney Plus,TV
Lemonade Mouth,,2011,7+,6.9,,Disney Plus,Movie
The Cheetah Girls,,2003,all,4.8,71%,Disney Plus,Movie
Doctor Dolittle,,1998,13+,5.4,42%,Disney Plus,Movie
Jessie,TV,2011,all,5.9,,Disney Plus,TV
Rapunzel's Tangled Adventure,TV,2017,all,7.6,,Disney Plus,TV
Bambi II,,2006,all,6.1,50%,Disney Plus,Movie
Herbie Rides Again,,1974,all,5.7,80%,Disney Plus,Movie
Big Business,,1988,7+,6.4,44%,Disney Plus,Movie
TaleSpin,TV,1990,all,7.6,,Disney Plus,TV
K.C. Undercover,TV,2015,all,6.1,,Disney Plus,TV
Descendants 3,,2019,all,6.7,78%,Disney Plus,Movie
Saludos Amigos,,1942,,6.2,83%,Disney Plus,Movie
101 Dalmatians II: Patch's London Adventure,,2003,all,5.8,67%,Disney Plus,Movie
I am Luna,TV,2016,,6.8,,Disney Plus,TV
Mickey Mouse Clubhouse,TV,2006,all,5.7,,Disney Plus,TV
Kickin' It,TV,2011,all,6.4,,Disney Plus,TV
Hannah Montana: The Movie,,2009,all,4.5,44%,Disney Plus,Movie
Olaf's Frozen Adventure,,2017,all,5.5,57%,Disney Plus,Movie
Thumbelina,,1994,all,6.3,30%,Disney Plus,Movie
Melody Time,,1948,,6.4,80%,Disney Plus,Movie
Sister Act 2: Back in the Habit,,1993,7+,5.6,7%,Disney Plus,Movie
Running Wild with Bear Grylls,TV,2014,7+,7.7,,Disney Plus,TV
Rookie of the Year,,1993,7+,6.1,35%,Disney Plus,Movie
Lady and the Tramp II: Scamp's Adventure,,2001,all,5.9,45%,Disney Plus,Movie
Deep Blue,,2003,all,7.4,67%,Disney Plus,Movie
Brain Games,TV,2011,7+,8.3,,Disney Plus,TV
Mighty Joe Young,,1998,7+,5.6,55%,Disney Plus,Movie
Even Stevens,TV,2000,all,7.6,,Disney Plus,TV
The Apple Dumpling Gang,,1975,all,6.5,56%,Disney Plus,Movie
Homeward Bound II: Lost in San Francisco,,1996,all,5.9,53%,Disney Plus,Movie
Jump In!,,2007,all,5.3,63%,Disney Plus,Movie
The Lizzie McGuire Movie,,2003,7+,5.5,41%,Disney Plus,Movie
Raven's Home,TV,2017,all,7.4,,Disney Plus,TV
Star Wars: The Clone Wars,,2008,7+,5.9,18%,Disney Plus,Movie
Austin & Ally,TV,2011,all,6.0,,Disney Plus,TV
Aliens of the Deep,,2005,all,6.4,84%,Disney Plus,Movie
One Man Band,,2005,all,7.7,,Disney Plus,Movie
Around the World in 80 Days,,2004,7+,5.9,32%,Disney Plus,Movie
Disney's Adventures of the Gummi Bears,TV,1985,all,7.5,,Disney Plus,TV
Violetta,TV,2012,all,5.2,,Disney Plus,TV
Dog Whisperer,TV,2004,all,8.0,,Disney Plus,TV
Pooh's Grand Adventure: The Search for Christopher Robin,,1997,all,7.1,33%,Disney Plus,Movie
Prop Culture : Iconic Art of the Movies,TV,2020,7+,8.4,,Disney Plus,TV
Roving Mars,,2006,7+,7.2,70%,Disney Plus,Movie
Star Wars Resistance,TV,2018,7+,4.9,92%,Disney Plus,TV
Newsies: The Broadway Musical,,2017,13+,8.5,,Disney Plus,Movie
"Mickey, Donald, Goofy: The Three Musketeers",,2004,all,6.4,36%,Disney Plus,Movie
The Little Mermaid: Ariel's Beginning,,2008,7+,6.3,33%,Disney Plus,Movie
The Return of Jafar,,1994,all,5.9,33%,Disney Plus,Movie
The Cat from Outer Space,,1978,all,6.1,67%,Disney Plus,Movie
Sonny with a Chance,TV,2009,all,6.1,,Disney Plus,TV
The Black Hole,,1979,7+,6.0,39%,Disney Plus,Movie
Jack,,1996,13+,5.8,18%,Disney Plus,Movie
Flubber,,1997,7+,5.3,24%,Disney Plus,Movie
The Incredible Dr. Pol,TV,2011,7+,8.6,,Disney Plus,TV
Marvel's Inhumans,TV,2017,7+,5.0,11%,Disney Plus,TV
Starstruck,,2010,all,6.1,,Disney Plus,Movie
Luxo Jr.,,1986,all,7.3,,Disney Plus,Movie
Schoolhouse Rock,TV,1973,all,8.1,,Disney Plus,TV
Return to Never Land,,2002,all,5.8,45%,Disney Plus,Movie
Milo Murphy's Law,TV,2016,all,7.5,,Disney Plus,TV
Marvel's Spider-Man,TV,2017,7+,6.1,,Disney Plus,TV
Little Einsteins,TV,2005,all,6.2,,Disney Plus,TV
The Cheetah Girls 2: When in Spain,,2006,all,5.0,43%,Disney Plus,Movie
The Shaggy Dog,,1959,all,6.5,68%,Disney Plus,Movie
Andi Mack,TV,2017,all,7.2,,Disney Plus,TV
Home on the Range,,2004,7+,5.3,53%,Disney Plus,Movie
The New Adventures of Winnie the Pooh,TV,1988,all,7.6,,Disney Plus,TV
Diary of a Future President,TV,2020,7+,5.5,100%,Disney Plus,TV
Timon & Pumbaa,TV,1995,all,7.1,,Disney Plus,TV
The Little Mermaid II: Return to the Sea,,2000,7+,5.6,33%,Disney Plus,Movie
The Cheetah Girls: One World,,2008,all,4.7,67%,Disney Plus,Movie
Kim Possible,,2019,7+,3.6,100%,Disney Plus,Movie
Leroy & Stitch,,2006,all,6.2,40%,Disney Plus,Movie
Herbie Goes to Monte Carlo,,1977,all,5.7,60%,Disney Plus,Movie
Herbie Fully Loaded,,2005,all,4.8,41%,Disney Plus,Movie
Let It Shine,,2012,all,6.4,,Disney Plus,Movie
Frankenweenie,,1984,7+,7.3,,Disney Plus,Movie
Shake It Up,TV,2010,all,4.8,,Disney Plus,TV
Amphibia,TV,2019,7+,7.9,,Disney Plus,TV
So Weird,TV,1999,7+,8.5,,Disney Plus,TV
Benji the Hunted,,1987,all,6.3,50%,Disney Plus,Movie
A Wrinkle in Time,,2018,7+,4.2,42%,Disney Plus,Movie
The Proud Family,TV,2001,all,6.4,,Disney Plus,TV
Wicked Tuna,TV,2012,16+,6.6,,Disney Plus,TV
Hercules,TV,1998,all,6.6,,Disney Plus,TV
Lilo & Stitch: The Series,TV,2003,all,6.8,,Disney Plus,TV
Beauty and the Beast: The Enchanted Christmas,,1997,all,6.1,13%,Disney Plus,Movie
Big City Greens,TV,2018,7+,6.7,,Disney Plus,TV
3 Men and a Little Lady,,1990,7+,5.4,38%,Disney Plus,Movie
Kitbull,,2019,7+,8.0,,Disney Plus,Movie
PJ Masks,TV,2015,all,5.6,,Disney Plus,TV
Tall Tale,,1995,7+,5.9,50%,Disney Plus,Movie
Marvel Rising: Secret Warriors,,2018,,5.2,100%,Disney Plus,Movie
Wizards of Waverly Place: The Movie,,2009,7+,6.2,,Disney Plus,Movie
